Store Name,CustomerNumber,Customer Account,COH,TOH,Hist,,
3903 PANDORA @ Geneva Commons - Store #744,C010679,USR0001209,69,70,70,0.985714286,1
3816 PANDORA @ New Park Mall - Store #783,C010846,USR0001255,57,64,68,0.838235294,0.941176471
3899 PANDORA @ Solano Town Center - Store #791,C010861,USR0001268,61,66,68,0.897058824,0.970588235
3898 PANDORA @ Deerbrook Mall - Store #772,C010862,USR0001269,70,70,72,0.972222222,0.972222222
3911 PANDORA @ Poughkeepsie Galleria - Store #806,C010880,USR0001282,65,70,71,0.915492958,0.985915493
3904 PANDORA @ Shops at Saddle Creek - Store #808,C010881,USR0001283,59,66,70,0.842857143,0.942857143
3905 PANDORA @ Monroeville - Store #801,C010882,USR0001284,61,66,67,0.910447761,0.985074627
3907 PANDORA @ The Centre at Salisbury - Store #809,C010883,USR0001285,65,68,69,0.942028986,0.985507246
3908 PANDORA @ The Forum at Peachtree Parkway - Store #814,C010884,USR0001286,65,69,70,0.928571429,0.985714286
3909 PANDORA @ Oglethorpe Mall - Store #831,C010886,USR0001288,66,68,70,0.942857143,0.971428571
3901 PANDORA @ Sangertown Square Mall - Store #810,C010888,USR0001290,60,67,69,0.869565217,0.971014493
3906 PANDORA @ Eastwood Mall - Store #706,C010889,USR0001291,61,68,69,0.884057971,0.985507246
3902 PANDORA @ Algonquin Commons - Store #812,C010890,USR0001292,65,70,70,0.928571429,1
3920 PANDORA @ Dover Mall - Store #813,C010946,USR0001327,72,72,72,1,1
3919 PANDORA @ Del Monte Center - Store #860,C010947,USR0001328,71,71,72,0.986111111,0.986111111
3921 PANDORA @ Bay Street - Store #858,C010985,USR0009470,60,66,67,0.895522388,0.985074627
3925 PANDORA @ Woodland Hills - Store #779,C011016,USR0009520,72,72,72,1,1
3924 PANDORA @ Northridge Mall - Store #793,C011017,USR0009521,71,71,72,0.986111111,0.986111111
3922 PANDORA @ Fox River Mall - Store #722,C011020,USR0009523,69,70,70,0.985714286,1
3927 PANDORA @ Cross County Shopping Center - Store #866,C011025,USR0009526,68,69,72,0.944444444,0.958333333
3928 PANDORA @ Pearland Town Center - Store #841,C011034,USR0009531,72,72,72,1,1
3926 PANDORA @ Shops at Riverside - Store #807,C011035,USR0046602,67,68,70,0.957142857,0.971428571
3811 Pandora @ Crossgates Mall,HANNOU CONALBAN,USR0003147,69,71,72,0.958333333,0.986111111
3815 Pandora @ Prudential Center,HANNOU CONBOSTO,USR0003148,66,68,72,0.916666667,0.944444444
3817 Pandora @ Walden Galleria,HANNOU CONBUFFA,USR0003149,68,69,72,0.944444444,0.958333333
3818 Pandora @ Garden State Plaza,HANNOU CONGARDE,USR0003151,69,71,72,0.958333333,0.986111111
3813 Pandora @ Galleria Crystal Run,HANNOU CONMIDDL,USR0003152,65,69,71,0.915492958,0.971830986
3812 Pandora @ Carousel Center,HANNOU CONSYRAC,USR0003154,68,69,72,0.944444444,0.958333333
